Question,Answer
What skills will i gain when undertaking the Integrated Project 3 module?,The transferable skill's that will be gained from completion of Integrated Project 3 will be :Critical thinking and problem solving. Communication skills- written- oral and listening. Effective Information retrieval and research skills. Computer literacy. Self confidence- self discipline & self reliance (independent working). Awareness of strengths and weaknesses. Knowledge of International Affairs Appreciating and desiring the need for continuing professional development Reliability- integrity- honesty and ethical awareness Entrepreneurial- independence and risk-taking Ability to prioritise tasks and time management (organising and planning work). Interpersonal skills- team working and leadership. Presentation skills. Commercial awareness (Narrative).
What skills will i gain when undertaking the Integrated Project 3 (CCIS) module?,The transferable skill's that will be gained from completion of Integrated Project 3 (CCIS) will be :D2 Critical thinking and problem solving. D4 Communication skills- written- oral and listening. D6 Effective Information retrieval and research skills. D7 Computer literacy. D8 Self confidence- self discipline & self reliance (independent working). D9 Awareness of strengths and weaknesses. D11 Knowledge of International Affairs D12 Appreciating and desiring the need for continuing professional development D13 Reliability- integrity- honesty and ethical awareness D14 Entrepreneurial- independence and risk-taking D15 Ability to prioritise tasks and time management (organising and planning work). D16 Interpersonal skills- team working and leadership. D17 Presentation skills. D18 Commercial awareness (Narrative).
What skills will i gain when undertaking the Internet Of Things module?,The transferable skill's that will be gained from completion of Internet Of Things will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D3 Critical analysis D4 Communication skills- written- oral and listening D6 Effective information retrieval and research skills D7 Computer literacy D8 Self-confidence- self-discipline & self-reliance (independent working) D9 Awareness of strengths and weaknesses D10 Creativity- innovation & independent thinking D11 Knowledge of international affairs D14 Ability to prioritise tasks and time management D17 Commercial awareness.
What skills will i gain when undertaking the IT Professional Issues And Project Methods module?,The transferable skill's that will be gained from completion of IT Professional Issues And Project Methods will be :D2 Critical thinking and problem solving D3 Critical analysis D4 Communication skills- written- oral and listening D6 Effective information retrieval and research skills D8 Self-confidence- self-discipline & self-reliance (independent working) D9 Awareness of strengths and weaknesses D10 Creativity- innovation & independent thinking D11 Knowledge of international affairs D12 Appreciating and desiring the need for continuing professional development D13 Reliability- integrity- honesty and ethical awareness D14 Ability to prioritise tasks and time management D15 Interpersonal skills- team working and leadership D16 Presentation skills D17 Commercial awareness.
What skills will i gain when undertaking the IT Project Management 1 module?,The transferable skill's that will be gained from completion of IT Project Management 1 will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D3 Critical analysis D4 Communication skills- written- oral and listening D5 Numeracy D7 Computer literacy D8 Self confidence- self discipline & self reliance (independent working) D9 Awareness of strengths and weaknesses D11 Knowledge of International Affairs D12 Appreciating and desiring the need for continuing professional development D15 Ability to prioritise tasks and time management D16 Interpersonal skills- team working and leadership D18 Commercial awareness.
What skills will i gain when undertaking the IT Project Management 2 module?,The transferable skill's that will be gained from completion of IT Project Management 2 will be :Specialist knowledge and application Critical thinking and problem solving Critical analysis Communication skills- written- oral and listening Numeracy Effective information retrieval and research skills Computer literacy Self confidence- self discipline & self reliance (independent working) Awareness of strengths and weaknesses Creativity- innovation & independent thinking Appreciating and desiring the need for continuing professional development Reliability- integrity- honesty and ethical awareness Ability to prioritise tasks and time management Interpersonal skills- team working and leadership Presentation skills Commercial awareness.
What skills will i gain when undertaking the Machine Learning And Data Analytics module?,The transferable skill's that will be gained from completion of Machine Learning And Data Analytics will be :Specialist knowledge and application Critical thinking and problem solving Critical analysis Communication skills- written- oral and listening Numeracy Computer literacy Self confidence- self discipline & self reliance (independent working) Creativity- innovation & independent thinking Ability to prioritise tasks and time management Commercial awareness.
What skills will i gain when undertaking the Masters Project (Capstone) module?,The transferable skill's that will be gained from completion of Masters Project (Capstone) will be :D1 Critical thinking and problem solving D2 Cognitive/intellectual skills D3 Knowledge and understanding in the context of the subject D4 Learning style and orientation to learning D5 Time management: organising- prioritising and planning work D6 Independent working and self-reliance D7 Planning- monitoring- reviewing and evaluating own learning- and development D8 Presentational skills D10 Communication skills- written- oral and listening.
What skills will i gain when undertaking the Masters Project (Oil & Gas) module?,The transferable skill's that will be gained from completion of Masters Project (Oil & Gas) will be :D1 Critical thinking and problem solving D2 Cognitive/intellectual skills D3 Knowledge and understanding in the context of the subject D4 Learning style and orientation to learning D5 Time management: organising- prioritising and planning work D6 Independent working and self-reliance D7 Planning- monitoring- reviewing and evaluating own learning- and development D8 Presentational skills D10 Communication skills- written- oral and listening.
What skills will i gain when undertaking the Mathematics Statistics Of Experimentation module?,The transferable skill's that will be gained from completion of Mathematics Statistics Of Experimentation will be :Computer skills Analytical thinking Independent Learning skills.
What skills will i gain when undertaking the Mathematics For Computer Games module?,The transferable skill's that will be gained from completion of Mathematics For Computer Games will be :D2 Independent working and self-reliance D3 Reviewing and evaluating own learning- strengths and weaknesses.
What skills will i gain when undertaking the Mathematics For Computing module?,The transferable skill's that will be gained from completion of Mathematics For Computing will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D5 Numeracy D8 Self confidence- self discipline & self reliance (independent working) D12 Appreciating and desiring the need for continuing professional development D15 Ability to prioritise tasks and time management.
What skills will i gain when undertaking the Mobile Platform Development module?,The transferable skill's that will be gained from completion of Mobile Platform Development will be :Specialist knowledge and application Critical thinking and problem solving Critical analysis Communication skills- written- oral and listening Effective information retrieval and research skills Computer literacy Self confidence- self discipline & self reliance (independent working) Awareness of strengths and weaknesses Appreciating and desiring the need for continuing professional development Reliability- integrity- honesty and ethical awareness Ability to prioritise tasks and time management Develop an understanding of the practical considerations that constrain the application of theory in the workplace.
What skills will i gain when undertaking the Object Oriented Analysis And Design module?,The transferable skill's that will be gained from completion of Object Oriented Analysis And Design will be :Specialist knowledge and application Critical thinking and problem solving Communication skills- written- oral and listening Computer literacy Self confidence- self discipline & self reliance (independent working) Awareness of strengths and weaknesses Ability to prioritise tasks and time management Interpersonal skills- team working and leadership Develop an understanding of the practical considerations that constrain the application of theory in the workplace.
What skills will i gain when undertaking the Professional Issues module?,The transferable skill's that will be gained from completion of Professional Issues will be :Communication Skills: written; Communication Skills: verbal; Group working; Independent working; Critical Evaluation.
What skills will i gain when undertaking the Programming 1 module?,The transferable skill's that will be gained from completion of Programming 1 will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D4 Communication skills- written- oral and listening D5 Numeracy D7 Computer literacy D8 Self confidence- self discipline & self reliance (independent working) D10 Creativity- innovation & independent thinking D15 Ability to prioritise tasks and time management.
What skills will i gain when undertaking the Programming 2 module?,The transferable skill's that will be gained from completion of Programming 2 will be :Specialist knowledge and application Critical thinking and problem solving Communication skills- written- oral and listening Numeracy Computer literacy Self confidence- self discipline & self reliance (independent working) Creativity- innovation & independent thinking Ability to prioritise tasks and time management Develop an understanding of the practical considerations that constrain the application of theory in the workplace.
What skills will i gain when undertaking the Programming Paradigms module?,The transferable skill's that will be gained from completion of Programming Paradigms will be :By the end of this module students will have gained competence in the following key areas: Specialist knowledge and application Critical thinking and problem solving Critical analysis Computer literacy Self confidence- self discipline & self reliance (independent working) Awareness of strengths and weaknesses Creativity- innovation & independent thinking Ability to prioritise tasks and time management Interpersonal skills- team working and leadership.
What skills will i gain when undertaking the Project Management Software Processes And Ethics module?,The transferable skill's that will be gained from completion of Project Management Software Processes And Ethics will be :D1 Critical thinking and problem solving D2 Cognitive/intellectual skills D3 Knowledge and understanding in the context of the subject D4 Learning style and orientation to learning D5 Time management: organising and planning work D6 Independent working D7 Planning- monitoring- reviewing and evaluating own learning and development D8 Presentation skills D9 Information Retrieval Skills D10 Communication skills- written- oral and listening D11 Group working.
What skills will i gain when undertaking the Research Skills And Professional Issues module?,The transferable skill's that will be gained from completion of Research Skills And Professional Issues will be :D1 Specialist knowledge and application D3 Critical analysis D4 Communication skills- written- oral and listening D6 Effective information retrieval and research skills D8 Self confidence- self discipline & self reliance (independent working) D13 Reliability- integrity- honesty and ethical awareness D15 Ability to prioritise tasks and time management D17 Presentation skills D18 Commercial awareness.
What skills will i gain when undertaking the Research Skills And Professional Issues (CSN) module?,The transferable skill's that will be gained from completion of Research Skills And Professional Issues (CSN) will be :Specialist knowledge and application Critical analysis Communication skills- written- oral and listening Effective information retrieval and research skills Self confidence- self discipline & self reliance (independent working) Reliability- integrity- honesty and ethical awareness Ability to prioritise tasks and time management Presentation skills Commercial awareness.
What skills will i gain when undertaking the Software Development And Database Systems module?,The transferable skill's that will be gained from completion of Software Development And Database Systems will be :D1 Critical thinking and problem solving D2 Cognitive/intellectual skills D3 Knowledge and understanding in the context of the subject D4 Learning style and orientation to learning D5 Time management: organising and planning work D6 Independent working D7 Planning- monitoring- reviewing and evaluating own learning and development D8 Presentation skills D9 Information Retrieval Skills D10 Communication skills- written- oral and listening.
What skills will i gain when undertaking the Systems Programming module?,The transferable skill's that will be gained from completion of Systems Programming will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D3 Critical analysis D7 Computer literacy D8 Self confidence- self discipline & self reliance (independent working) D18 Commercial awareness.
What skills will i gain when undertaking the Web Application Development 1 module?,The transferable skill's that will be gained from completion of Web Application Development 1 will be :By the end of this module students will have gained competence in the following key areas: Specialist knowledge and application Critical thinking and problem solving Communication skills- written- oral and listening Computer literacy Self confidence- self discipline & self reliance (independent working) Awareness of strengths and weaknesses Creativity- innovation & independent thinking Ability to prioritise tasks and time management.
What skills will i gain when undertaking the Web Application Development 2 module?,The transferable skill's that will be gained from completion of Web Application Development 2 will be :Specialist knowledge and application Critical thinking and problem solving Critical analysis Communication skills- written- oral and listening Numeracy Computer literacy Self confidence- self discipline & self reliance (independent working) Creativity- innovation & independent thinking Ability to prioritise tasks and time management.
What skills will i gain when undertaking the Web Design Fundamentals module?,The transferable skill's that will be gained from completion of Web Design Fundamentals will be :Specialist knowledge and application Critical thinking and problem solving Critical analysis Communication skills- written- oral and listening Computer literacy Creativity- innovation & independent thinking Ability to prioritise tasks and time management.
What skills will i gain when undertaking the Web Design Technologies module?,The transferable skill's that will be gained from completion of Web Design Technologies will be :b7 Specialist knowledge and application b7 Critical thinking and problem solving b7 Critical analysis b7 Communication skills- written- oral and listening b7 Computer literacy b7 Creativity- innovation & independent thinking b7 Ability to prioritise tasks and time management.
What skills will i gain when undertaking the Web Platform Development 1 module?,The transferable skill's that will be gained from completion of Web Platform Development 1 will be :D1 Specialist knowledge and application D2 Critical thinking and problem solving D4 Communication skills- written- oral and listening D7 Computer literacy D8 Self-confidence- self-discipline & self-reliance (independent working) D9 Awareness of strengths and weaknesses D15 Ability to prioritise tasks and time management D16 Interpersonal skills- team working and leadership.
What skills will i gain when undertaking the Web Platform Development 2 module?,The transferable skill's that will be gained from completion of Web Platform Development 2 will be :Specialist knowledge and application Critical thinking and problem solving Critical analysis Communication skills- written- oral and listening Numeracy Computer literacy Self confidence- self discipline & self reliance (independent working) Creativity- innovation & independent thinking Ability to prioritise tasks and time management Gain additional industry focussed competence in the application of the knowledge and practical skills obtained on this programme. Develop an understanding of the practical considerations that constrain the application of theory in the workplace. Evaluate current research and technology concepts and their relationship and application to a work based problem.
What skills will i gain when undertaking the Web Systems Development And Interaction Design module?,The transferable skill's that will be gained from completion of Web Systems Development And Interaction Design will be :D1 Critical thinking and problem solving D2 Cognitive/intellectual skills D3 Knowledge and understanding in the context of the subject D4 Learning style and orientation to learning D5 Time management: organising and planning work D6 Independent working D7 Planning- monitoring- reviewing and evaluating own learning and development D8 Presentation skills D9 Information Retrieval Skills D10 Communication skills- written- oral and listening.
What is the module fee for a 20 credit module if you are a student from Scotland?,The module fee for a 20 credit module -if you are a resident of Scotland is £330.
What is the module fee for a 40 credit module if you are a student from Scotland?,The module fee for a 40 credit module -if you are a resident of Scotland is £660.
What is the module fee per honours project if you are a student from Scotland?,The module fee for a honours project -if you are a resident of Scotland is £660.
What is the module fee for a 20 credit module if you are a student from either England- Wales and N.Ireland?,The module fee for a 20 credit module -if you are a resident in either England- Wales and N.Ireland is £1500.
What is the module fee for a 20 credit module if you are student from either England- Wales and N.Ireland?,The module fee for a 40 credit module -if you are a resident in either England- Wales and N.Ireland is £3000.
What is the module fee per honours project if you are a student from either England- Wales and N.Ireland?,The module fee for a honours project -if you are a resident in either England- Wales and N.Ireland is £3000.
What is the module fee for a 20 credit module if you are a student from the European Union?,The module fee for a 20 credit module -if you are a resident of the European Union is £330.
What is the module fee for a 40 credit module if you are a student from the European Union?,The module fee for a 40 credit module -if you are a resident of the European Union is £660.
What is the module fee per honours project if you are a student from the European Union?,The module fee per honours project -if you are a resident of the European Union is £660.
What is the module fee for a 20 credit module if you are a international student?,The module fee for a 20 credit module if you are a international student is £1920.
What is the module fee for a 40 credit module if you are a international student?,The module fee for a 40 credit module if you are a international student is £3840.
What is the module fee per honours project if you are a international student?,The module fee per honours project if you are a international student is £3840.
How will i be able to pay for the tuition fees for my selected modules?,You will be able to pay for module tuttion fees via the university website from the link provided:https://www.gcu.ac.uk/study/modules/modulefees/.
Do computing student's get any discount's on any university facilities?,You can't get anu stuydent discount's however you can get discount's at the Arc Sports Centre once you have graduated.
How can i contact the university helpdesk for futher help with other sectors of university?,You can contact the univeristy helpdesk by contacting the university helpline phone number at:+4401413318630.
Can you get free software instalation for the computing course or do you need to buy them yourself?,You do not need to buy your own software for the computing module- you can get most of the software required from your student microsoft azure account.
